70, 28, 32, 26, 88, 59, 71, 59, 81, 65
39, 32, 52, 90, 17, 59, 66, 13, 49, 56
35, 44, 27, 28, 62, 19, 41, 56, 16, 1
72, 59, 95, 79, 43, 33, 12, 66, 4, 36
88, 48, 50, 79, 28, 55, 4, 23, 71, 42
87, 96, 19, 95, 7, 65, 15, 68, 57, 67
61, 47, 41, 80, 71, 64, 68, 95, 74, 48
19, 46, 42, 1, 98, 14, 39, 42, 39, 75
21, 83, 49, 88, 87, 70, 92, 27, 62, 66
94, 53, 29, 42, 60, 34, 81, 10, 20, 93
54, 97, 95, 79, 29, 66, 65, 74, 42, 93
57, 91, 60, 77, 12, 27, 66, 14, 64, 18
15, 84, 16, 97, 36, 36, 99, 87, 52, 43
64, 77, 95, 14, 57, 21, 2, 70, 52, 11
81, 4, 73, 8, 50, 33, 1, 4, 16, 93
48, 89, 57, 34, 37, 72, 40, 57, 29, 66
10, 87, 97, 90, 86, 98, 42, 15, 65, 70
70, 80, 35, 1, 15, 31, 26, 78, 53, 28
26, 3, 65, 64, 41, 11, 19, 37, 69, 81
1, 74, 91, 57, 22, 94, 21, 23, 44, 74
12, 53, 83, 71, 4, 76, 29, 60, 75, 36
96, 75, 6, 13, 71, 16, 76, 91, 36, 95
35, 55, 17, 47, 32, 40, 50, 42, 80, 49
30, 35, 9, 27, 69, 64, 37, 75, 52, 60
96, 36, 17, 35, 71, 44, 90, 49, 42, 40
85, 84, 35, 80, 88, 50, 64, 74, 99, 58
9, 41, 38, 24, 49, 67, 99, 90, 95, 74
70, 62, 12, 13, 40, 37, 39, 70, 69, 59
67, 92, 29, 49, 71, 89, 58, 81, 78, 79
61, 57, 62, 26, 66, 20, 92, 98, 3, 25
84, 30, 1, 29, 10, 54, 2, 27, 28, 47
86, 75, 58, 17, 62, 65, 42, 90, 79, 87
77, 32, 40, 23, 9, 50, 51, 68, 92, 30
74, 36, 61, 60, 76, 81, 93, 7, 67, 37
91, 94, 50, 45, 5, 47, 11, 85, 37, 81
0, 56, 19, 30, 78, 63, 58, 69, 34, 61
8, 35, 54, 63, 67, 29, 84, 50, 14, 30
61, 44, 69, 42, 8, 96, 89, 79, 24, 98
10, 96, 83, 29, 69, 17, 30, 85, 22, 14
97, 16, 91, 90, 36, 64, 13, 36, 81, 57
71, 30, 31, 98, 59, 75, 65, 98, 24, 58
52, 75, 59, 58, 4, 76, 25, 10, 42, 45
58, 3, 43, 49, 28, 13, 96, 21, 7, 94
57, 85, 30, 66, 90, 5, 75, 45, 61, 17
80, 95, 27, 23, 89, 67, 41, 45, 73, 4
56, 53, 95, 86, 22, 83, 49, 35, 31, 50
58, 93, 31, 8, 29, 58, 52, 26, 81, 71
8, 85, 91, 84, 48, 29, 15, 48, 27, 21
25, 80, 62, 66, 1, 73, 26, 89, 58, 87
14, 87, 44, 89, 59, 35, 22, 94, 22, 93
77, 43, 69, 74, 59, 57, 25, 36, 19, 95
65, 10, 34, 81, 59, 72, 72, 89, 73, 52
33, 97, 94, 97, 88, 58, 42, 54, 53, 23
28, 69, 57, 46, 41, 18, 8, 39, 61, 75
9, 54, 98, 82, 85, 28, 22, 14, 87, 9
22, 89, 2, 64, 19, 3, 3, 48, 67, 13
61, 36, 47, 96, 56, 67, 97, 72, 82, 18
59, 95, 66, 30, 20, 52, 45, 82, 9, 50
93, 37, 90, 67, 93, 45, 61, 96, 10, 9
52, 81, 38, 24, 88, 50, 95, 2, 41, 68
80, 89, 49, 79, 13, 35, 55, 76, 29, 36
33, 5, 5, 47, 68, 45, 93, 72, 37, 60
46, 58, 33, 92, 25, 91, 68, 1, 9, 83
49, 95, 35, 95, 89, 81, 59, 84, 53, 75
32, 88, 68, 52, 15, 91, 20, 18, 80, 64
46, 81, 4, 72, 88, 35, 78, 65, 0, 33
15, 10, 12, 51, 33, 67, 3, 53, 1, 17
82, 71, 5, 17, 20, 60, 70, 72, 29, 66
53, 31, 96, 0, 35, 50, 3, 95, 11, 3
59, 78, 27, 0, 79, 65, 62, 69, 53, 16
62, 41, 68, 99, 52, 16, 91, 56, 82, 4
78, 66, 76, 58, 25, 32, 81, 29, 53, 31
13, 89, 5, 98, 20, 95, 10, 90, 82, 60
12, 93, 36, 76, 46, 6, 60, 46, 43, 12
76, 95, 72, 85, 27, 6, 60, 93, 93, 87
97, 58, 15, 41, 12, 91, 80, 92, 77, 2
72, 80, 93, 71, 87, 54, 15, 42, 5, 73
99, 8, 27, 18, 12, 60, 49, 30, 33, 99
52, 97, 40, 38, 46, 25, 27, 71, 53, 96
46, 20, 74, 59, 99, 66, 90, 71, 2, 3
7, 38, 96, 90, 43, 11, 85, 53, 39, 86
93, 43, 74, 40, 1, 61, 0, 62, 3, 12
68, 34, 35, 70, 66, 2, 72, 76, 40, 95
38, 52, 87, 64, 54, 31, 97, 36, 65, 4
46, 33, 42, 67, 35, 82, 45, 42, 61, 65
40, 61, 20, 92, 88, 44, 42, 68, 16, 95
2, 69, 46, 33, 21, 16, 38, 1, 9, 96
92, 30, 4, 1, 63, 41, 6, 68, 57, 45
54, 4, 78, 49, 27, 44, 4, 97, 3, 4
68, 3, 28, 18, 92, 86, 61, 2, 57, 74
80, 98, 54, 90, 6, 77, 2, 42, 94, 73
43, 64, 93, 36, 28, 39, 59, 18, 39, 89
61, 84, 27, 62, 84, 2, 68, 52, 82, 54
0, 56, 40, 61, 60, 97, 23, 0, 2, 99
17, 19, 78, 44, 36, 63, 49, 2, 68, 95
34, 82, 66, 99, 11, 43, 34, 1, 64, 18
42, 15, 72, 94, 30, 24, 24, 60, 1, 19
13, 23, 45, 64, 99, 26, 52, 71, 54, 13
11, 2, 80, 57, 39, 9, 6, 87, 42, 43
1, 31, 40, 95, 86, 27, 73, 39, 3, 86
